z_2D,x_CH4_2D,x_H2O_2D,x_H2_2D,x_CO_2D,x_CO2_2D,x_N2_2D,X_CH4_2D,Y_CO2_2D,T_avg_2D
0.863371325767033,0.182381217265465,0.646853345211251,0.104146437881948,0.00638132794740525,0.0267312987922503,0.0335063729016811,0.104740139361775,0.0752956328925416,906.632193572431
1.03011877902314,0.176875516781879,0.634948082699133,0.118060724938914,0.00771199185066773,0.0291676524620008,0.0332360312674048,0.124703919740054,0.0884196245569852,920.906994088411
1.19686623227925,0.1714617086367,0.623302035199104,0.131682265562057,0.0090809578719615,0.0315028309872617,0.0329702017429163,0.144653734896578,0.101232570993114,933.563925748565
1.36361368553536,0.166160335533646,0.61195549005133,0.144963276399566,0.01047912786149,0.0337318771352066,0.0327098930187614,0.164503456516934,0.113691428356423,944.8381984608
1.53036113879147,0.160987368859399,0.600938786792137,0.157867589972513,0.011898445496423,0.0358519195554616,0.0324558893240671,0.184179320945928,0.125762377344058,954.926058342015
1.69710859204757,0.155954105913963,0.590272460006066,0.170370549323055,0.013332286195598,0.0378618531809659,0.0322087453803519,0.203621685212382,0.137420178458729,963.991956037327
2.01547627158687,0.146761370218679,0.570933551868843,0.193063877428941,0.0160930860948515,0.0413907519338193,0.0317573624548669,0.239912215822197,0.158444654611087,978.943911659953
2.33384395112617,0.138146147371565,0.552992216600632,0.214148898809717,0.0188630946438835,0.044515305932384,0.0313343366418185,0.27487196944939,0.177739434716558,991.465795542473
2.65221163066547,0.130113686095544,0.536444327135919,0.233627825277594,0.0216255666346805,0.0472486691915967,0.0309399256646658,0.308328095216281,0.195248351594275,1002.116127663
2.97057931020477,0.122644088465939,0.52122837050602,0.251569430534756,0.0243668245122784,0.0496181334881907,0.0305731524928155,0.340214422396419,0.211008477137069,1011.25761683543
3.28894698974407,0.115709263262765,0.507262460629327,0.268065851121154,0.0270725146219846,0.051657272577347,0.0302326377874225,0.370510474146251,0.225108409527965,1019.1504095672
3.92634136116951,0.10334915009876,0.482804796332951,0.297033708215407,0.0323290617813591,0.0548575536969291,0.0296257298745935,0.426234710546422,0.248632590485526,1032.08116883098
4.56373573259495,0.0928842845202785,0.462624664426978,0.321032458982974,0.0373068895651968,0.0570398198444927,0.0291118826600799,0.475230761998852,0.266337367617998,1042.47043534138
5.20113010402039,0.0840568936361845,0.446035268394306,0.340842961022819,0.0419388978891507,0.0584475401131286,0.0286784389444117,0.517925400108656,0.27928137153391,1051.05249919256
5.83852447544583,0.0766219773537854,0.432399347902084,0.357191874954687,0.0461768165419506,0.0592966145469238,0.0283133687005692,0.55489934666025,0.288535757113846,1058.23619364679
6.47591884687127,0.0703693644958458,0.421183680459639,0.37068911451456,0.0499926830394018,0.0597588054146836,0.0280063520758698,0.586739872339275,0.295026149058475,1064.31545523678
7.40414513975817,0.0630117194171656,0.408294002205957,0.386263590027961,0.054791080830998,0.0599945315052626,0.0276450760126553,0.625113360649221,0.301014903147233,1071.61184704725
8.33237143264508,0.0573094353881527,0.398530912379365,0.398107437537906,0.0587365122044011,0.0599506207831594,0.0273650817070166,0.655550307533058,0.304403085132137,1077.47102978109
9.26059772553199,0.0528838837136706,0.391089764803874,0.407163464449344,0.0619345696642837,0.0597805396862407,0.0271477776825873,0.679605185682385,0.306256865621969,1082.17649557301
10.1888240184189,0.0494432593549217,0.385388469503919,0.414120240102512,0.0645046743377222,0.0595645210112644,0.0269788356896609,0.698574278036875,0.307207895246345,1085.93324126343
11.1170503113058,0.0467662328539974,0.381003863796576,0.419481690076171,0.0665557485010243,0.0593450767923609,0.0268473879798698,0.713498586159978,0.307641444662936,1088.91899548216
12,0.0447726124711273,0.377767153542059,0.423445870394864,0.0681117821969773,0.0591530844271802,0.0267494969677921,0.72470822409397,0.307791421657902,1091.18441831381
